ProbeName	oil_1_1_Median	oil_1_3_Median	oil_2_4_Median	oil_2_5_Median	oil_2_6_Median	oil_3_7_Median	oil_3_8_Median	oil_3_9_Median	no_4_10_Median	no_4_11_Median	no_5_13_Median	no_5_14_Median	no_5_15_Median	no_6_16_Median	no_6_17_Median	no_6_18_Median	oil_1_19_Median	no_4_20_Median
CUST_272_PI428634872	-0.334095367	-0.538057329	0.129223303	0.1542274802	0.1968604501	0.1746258546	0.1611822061	0.6193562057	0.6411338861	0.349324158	0.3730134439	0.2701737317	0.3494261699	1.0359663573	0.7409185958	0.849296354	-0.072833442	0.0474483947
CUST_2730_PI428634872	-1.104580018	-0.53797742	-0.956883602	-1.009959895	-0.967209621	-1.175148292	-1.024834868	-1.047797472	-0.663648305	-0.61391846	-1.070222152	-1.05163612	-0.965460235	-1.055509994	-1.297043297	-1.293434211	-1.167420054	-1.015378842
CUST_2731_PI428634872	-3.236993678	-2.120421029	-2.412375366	-2.660933874	-3.561608371	-3.127032255	-3.762952364	-3.096299461	-3.950909074	-4.25793247	-3.718952905	-3.200877974	-3.032748469	-3.356352156	-2.478192552	-2.365949818	-2.552657985	-3.537661845
CUST_2732_PI428634872	-5.477589403	-5.338168441	-6.068302185	-6.516629231	-6.209168321	-4.857822821	-4.95082756	-5.082763421	-5.35553817	-5.451980326	-5.3627721	-5.347169684	-5.334313703	-4.378128837	-4.483239808	-4.38909983	-6.270376543	-6.662548459
CUST_2733_PI428634872	-4.317609367	-3.939578441	-4.367994569	-4.909119663	-4.620162612	-3.179395251	-2.73027323	-3.59037973	-5.299621788	-5.020532657	-4.510171223	-4.529407434	-4.685126927	-3.311384207	-3.006868635	-2.935907536	-4.279264875	-6.926494237
CUST_2734_PI428634872	-1.029854851	-1.12995354	-0.373444725	-0.338767102	-0.989461258	-0.177866531	-0.299157124	-0.184550473	-0.198340392	0.0776401787	0.5424477572	0.4506747731	0.4364468075	-0.628627944	-0.347609379	-0.71005991	-0.28437938	0.1920289699
CUST_2735_PI428634872	0.8331121903	0.0092883224	0.5142713472	0.0658556581	0.0857819441	1.0584206975	0.6691335991	0.9664393227	-0.89857946	-0.505689712	-0.442064171	-0.602953534	-0.538263431	1.1129311798	0.8246328636	1.0740401108	0.6581915584	-0.827412269
CUST_2736_PI428634872	-5.816525041	-5.141623391	-5.384357115	-5.381003661	-5.209199303	-5.442479465	-5.026266069	-5.470170795	-5.099427822	-5.203299079	-5.157381566	-5.063110933	-5.243749442	-5.278534204	-6.198162515	-5.853154517	-6.049862291	-5.943858709
CUST_2737_PI428634872	-4.026363641	-4.155095177	-4.202059409	-4.308796643	-3.923265849	-4.53604388	-4.549970185	-4.815983549	-4.542031526	-4.284966473	-4.547792125	-4.321995815	-4.35068323	-4.153921162	-3.948919629	-4.353124454	-4.029482635	-4.168386564
CUST_2738_PI428634872	-6.994325904	-6.928369878	-7.164289048	-6.888091323	-6.829572386	-7.545474444	-7.11576218	-6.91158955	-6.097782753	-6.181572906	-7.094847433	-6.571941631	-6.895617133	-6.822159145	-6.8968594	-7.169692288	-6.917260204	-6.46998102
CUST_2739_PI428634872	0.4589653693	0.347300217	0.8434636032	0.7953257915	0.5296131295	0.9122026791	0.703050152	0.8015840572	1.0930797683	1.3773149898	1.5033021464	1.4470753762	1.459086947	1.375674099	1.2057696959	1.3290627082	0.6925422883	1.2586948003
CUST_273_PI428634872	-4.848365922	-4.836914963	-4.71221794	-5.234291479	-4.690907875	-4.692332044	-4.812371991	-4.664303303	-5.595760507	-5.483033367	-4.976695637	-5.119750073	-5.055685645	-4.624286336	-4.175139889	-4.525602063	-5.148133099	-5.360328903
CUST_2740_PI428634872	-3.948128605	-1.907763316	-3.25191561	-3.518452031	-4.191374697	-3.470934391	-3.513996133	-4.105666017	-1.587005206	-1.112730054	-1.524756024	-1.315246573	-1.643192725	-3.926664971	-4.639635024	-3.721889866	-4.01045356	-1.738524588
CUST_2741_PI428634872	-1.86287076	-2.161715717	-1.669171512	-1.647195198	-1.599737723	-1.693803327	-1.981419474	-1.61106086	-2.243771312	-2.144353325	-2.147823532	-2.237498988	-2.040667893	-1.440515167	-1.530140691	-1.490981302	-1.818593898	-2.11370818
CUST_2742_PI428634872	-1.669501018	-1.815073479	-1.584552239	-1.535817443	-1.780656131	-1.50373144	-1.468087755	-1.747335016	-1.392765561	-1.57796418	-1.897894259	-1.778546949	-1.835485614	-1.698215878	-1.988092364	-1.523674183	-2.007077153	-1.225484801
CUST_2743_PI428634872	-0.138754987	-0.527417947	-0.333201736	-0.654868274	-0.063747952	-0.690824016	-0.25429775	-1.354310812	-1.042307962	-2.181868741	-0.694664845	-0.463189501	-0.483970193	-1.909997679	-2.117584797	-1.731106703	-0.726839792	-0.544980149
CUST_2744_PI428634872	-0.689289439	-0.374791001	0.3564836865	0.5909230551	0.1484225901	1.5300703162	1.3601667469	2.4067458188	2.2694223262	2.2699082338	1.4121558323	1.7626289594	1.8287230641	1.0508388196	-0.033063419	0.6546521485	-0.175910333	1.6945688994
CUST_2745_PI428634872	-1.126078316	-1.397348409	-1.398338035	-1.495530911	-1.183020323	-1.506067276	-1.558109518	-2.065846957	-2.599303325	-2.178307003	-1.605487186	-1.724402184	-1.804032721	-1.605340643	-1.307874239	-1.37303519	-1.592344835	-1.864092169
CUST_2746_PI428634872	-2.765780556	-0.665351786	-2.269835344	-2.709330472	-2.581796987	-2.229453227	-1.947863387	-2.427492679	-2.785721878	-3.640748849	-2.968151703	-3.473557834	-3.727708113	-3.565076079	-3.475377073	-3.634122736	-2.981513617	-3.890173165
CUST_2747_PI428634872	0.2977245207	0.5895272233	1.0367891257	-0.125227828	1.0104764927	0.1615659911	0.3400061324	-0.221511451	-0.80391058	-0.406467161	0.0423118786	-0.331993726	-0.329382549	0.5440166896	0.3569999095	0.6281076486	0.3228153201	-0.477110371
CUST_2748_PI428634872	-1.811872127	-1.004644338	-1.132838828	-1.066852811	-1.479271258	-1.180678838	-1.259206167	-1.069800869	-0.99146383	-0.99306628	-1.077225256	-1.109981931	-0.976189549	-1.093500268	-1.175629572	-1.006329928	-1.192840996	-1.337732232
CUST_2749_PI428634872	-2.353971444	-2.327910088	-2.461872274	-2.664568103	-2.436644161	-2.807355805	-2.746461595	-3.209018193	-2.457025285	-2.490505812	-2.371499992	-2.359769815	-2.451918606	-3.393354215	-3.526839181	-3.602693283	-2.61625251	-2.40651453
CUST_274_PI428634872	0.5368710988	1.3901258544	0.8581462737	0.8511516676	0.7379190014	0.6358385041	0.6082591837	0.7374336325	0.4975127648	0.5198768002	0.4077283876	0.5214007556	0.5128181739	0.345766087	0.2423940019	0.2475089834	0.5766230514	0.1795496887
CUST_2750_PI428634872	-1.656728287	-1.124663448	-2.060388703	-1.443164952	-2.057483965	-1.302759485	-1.356438505	-1.564862775	-1.105630494	-0.796553657	-0.88945804	-0.901481265	-0.928002193	-1.361263317	-1.490150325	-1.492722223	-1.635188147	-1.02409711
CUST_2751_PI428634872	-5.844355724	-4.581235033	-5.228452867	-5.381007551	-5.587707358	-5.266005035	-5.238312255	-4.914707324	-4.64017688	-5.151192662	-4.980674318	-5.265483987	-5.044607622	-5.281776073	-4.901079648	-5.176410771	-5.281273038	-5.320829325
CUST_2752_PI428634872	-2.315715888	-1.566915806	-2.331892909	-2.420531917	-2.134781386	-2.321560471	-2.215522445	-2.460331147	-2.046788086	-2.440464021	-2.186461361	-2.471175448	-2.307391811	-2.708269968	-2.372194788	-2.580352133	-2.219241453	-2.636078571
CUST_2753_PI428634872	-2.185850613	-1.547210987	-1.449652792	-1.347246717	-1.868142184	-1.318545851	-1.525704862	-1.157845601	-0.145566911	-0.106732648	-0.252932	-0.284652608	-0.188005664	-1.345497085	-1.617339033	-1.565966686	-1.635233646	-0.447279017
CUST_2754_PI428634872	-3.903585457	-2.525720301	-3.007737907	-3.828176322	-3.008465692	-3.513658314	-3.6171719	-3.750476741	-3.242979709	-3.696731731	-3.39668447	-3.634617243	-3.576186027	-4.245729147	-4.100441288	-4.217841734	-3.695562684	-3.656125745
CUST_2755_PI428634872	-2.545962149	-2.429399726	-2.352762857	-2.180241949	-2.505054703	-2.211901786	-2.247620876	-2.521420773	-2.455864966	-2.223795642	-2.169048289	-2.230042828	-2.106759765	-2.251470904	-2.432672978	-2.4435101	-2.182805933	-2.2523724
CUST_2756_PI428634872	-2.145023881	-1.914092304	-1.980060932	-1.813137263	-2.048978687	-1.898759532	-1.862640282	-2.124037576	-1.825940961	-1.893436354	-1.849767346	-1.713285382	-1.750995237	-1.900237399	-2.097167549	-2.108686416	-1.780242328	-1.953403012
CUST_2757_PI428634872	-6.178432293	-6.245640675	-6.100955811	-5.620765667	-5.809772761	-7.159870825	-6.183848633	-6.407489553	-5.030670532	-5.786043005	-5.889751871	-6.194040051	-6.519114849	-4.793020684	-4.655144142	-4.49939222	-5.997321535	-5.653776
CUST_2758_PI428634872	-1.393939536	-1.643372616	-1.948920657	-1.69744706	-1.631415971	-1.917671592	-1.807699468	-2.031695948	-3.353142243	-2.99123594	-2.673062178	-2.482661178	-2.556030466	-2.499143294	-2.322439518	-2.094415955	-2.396442898	-2.834167651
CUST_2759_PI428634872	-2.965931721	-0.428857145	-1.986541249	-1.806541735	-3.121880983	-1.847392385	-1.97567853	-1.92518284	-0.694406335	-0.475069428	-0.858912434	-0.684765841	-0.768814077	-2.202751927	-2.73466913	-2.485277241	-2.468233225	-0.702301736
CUST_275_PI428634872	-3.427787897	-3.763357682	-4.037201353	-3.705339136	-3.375449143	-3.457013241	-3.206667779	-2.99256526	-3.049136621	-3.50540157	-3.230930097	-3.498110077	-3.454086539	-3.433411897	-3.239529332	-3.48704832	-3.470406033	-3.348407781
CUST_2760_PI428634872	-0.884203756	-1.260409649	-1.391041958	-0.589803429	-1.259346049	-0.636641937	-0.633623435	-0.142728271	-1.109822674	-1.088948995	-1.389725313	-1.025408021	-0.984069247	-0.681837337	-1.663848179	-0.739448248	-1.089737558	-1.067996471
CUST_2761_PI428634872	-3.01220081	-2.797880567	-2.384884617	-1.757539024	-2.359166068	-1.953183901	-2.100604128	-1.840968314	-1.406061236	-1.133730331	-1.667818877	-1.791827464	-1.745225698	-1.554612998	-1.836035843	-1.71019894	-2.546942	-1.716393059
CUST_2762_PI428634872	-5.246296524	-5.248188309	-4.003566041	-4.270980707	-4.268446374	-5.354374479	-5.24544434	-5.217135668	-1.96609051	-5.046608941	-4.410467848	0.2316748666	-1.640724467	-4.308693915	-3.782056487	-4.38428261	-5.162665372	-0.848921346
CUST_2763_PI428634872	-4.16209419	-3.627874522	-2.779493473	-2.521748214	-3.382187998	-2.773720029	-2.822167123	-2.49070674	-1.787088704	-1.993363523	-2.284933465	-2.36266305	-2.213895169	-2.337847454	-2.605931016	-2.424193019	-3.029256061	-2.461407276
CUST_2764_PI428634872	-1.955759735	-1.855189733	-1.514337387	-1.327456323	-1.591451861	-1.290767893	-1.353058314	-1.592219445	-0.782836165	-1.18142726	-0.986625773	-1.120053886	-1.040089256	-1.386168388	-1.272767444	-1.321016574	-1.258872811	-0.755615273
CUST_2765_PI428634872	2.9212543891	2.23263326	3.0520056219	2.8413926939	2.7215011103	2.6294168039	2.7755373672	3.078513445	3.0282196723	2.991083895	2.6587585903	2.8549968131	2.9239266656	3.1190402817	2.9001640552	2.9303437546	2.5426056778	2.4312411592
CUST_2766_PI428634872	-6.319643075	-6.291817383	-6.303317149	-6.082929897	-5.841372181	-6.292130865	-6.379716608	-5.60853892	-5.926487952	-6.538653289	-6.472191507	-6.244467579	-6.487653017	-6.400723201	-5.980022773	-6.071970048	-6.251553594	-6.540534812
CUST_2767_PI428634872	-2.829087811	-2.283216535	-2.376213374	-2.139710435	-2.840899284	-2.07873599	-2.283262219	-1.80301359	-1.748334943	-1.906675926	-1.99362875	-1.839834834	-1.726439078	-1.609428076	-1.881509897	-1.673240812	-2.394473165	-2.136034155
CUST_2768_PI428634872	-1.847306205	-1.958813027	-2.514724691	-2.234859348	-1.916028508	-2.269298883	-2.281601053	-2.498406472	-1.751606093	-2.065566799	-1.771564602	-1.812634093	-1.801552302	-2.848004172	-2.48481587	-2.905428629	-2.235963081	-1.983653393
CUST_2769_PI428634872	-2.007356579	-1.080875271	-1.485855329	-1.196360465	-2.040746061	-1.445500811	-1.766919063	-1.647491266	-1.528898889	-1.654345793	-1.684753491	-1.497051568	-1.530670852	-1.89091368	-2.355467119	-2.033770228	-0.878373166	-1.807923218
CUST_276_PI428634872		-6.956357014	-7.658425754	-7.084545639	-7.046600153	-7.494046378			-7.372485139	-8.045869008	-6.71688022	-7.192440548	-7.202293093	-7.022094141	-7.35787953	-6.941135004	-7.419351677	-6.352225816
CUST_2770_PI428634872	-3.592937687	-3.457782955	-4.168636545	-4.19765412	-4.045616454	-3.475650309	-3.056445507	-2.661899537	-2.427115679	-2.53943011	-3.271751909	-3.403782951	-3.245483617	-2.992470804	-3.816903236	-3.235354624	-4.348489406	-2.88596904
CUST_2771_PI428634872	-2.788535253	-2.404038307	-2.652605221	-3.112811388	-3.07663919	-2.386067346	-1.732333799	-1.749578841	-1.822964982	-1.52545319	-2.186088458	-2.133650304	-2.198617586	-2.041444209	-2.513878554	-1.969269038	-3.24777108	-1.814438644
CUST_2772_PI428634872	-6.007579264	-5.87969914	-5.396659439	-5.654704414	-5.932715639	-4.865092175	-4.371596984	-4.767656309	-4.669378422	-4.662528224	-4.832580488	-4.97088798	-4.788738559	-4.123749978	-4.161281356	-3.928130203	-5.737658697	-5.357412776
CUST_2773_PI428634872	-2.70997942	-2.74843838	-2.580477142	-2.130950796	-3.297398048	-2.668240278	-3.201503995	-2.914498672	-3.174421167	-3.131696869	-2.737768047	-3.405580023	-3.483160998	-1.276675832	-1.477245094	-1.357001773	-2.28171486	-3.486032067
CUST_2774_PI428634872	-2.004105775	-0.820730581	-1.348847863	-1.5038302	-2.258354427	-1.823980308	-1.709712359	-1.828145046	-0.940885032	-0.94794141	-1.285077686	-1.213821639	-1.165001342	-1.500809792	-1.983505565	-1.686832747	-1.3861644	-1.491797299
CUST_2775_PI428634872	-0.444333201	1.0806092268	-0.323379307	-0.541707828	-0.486955258	-0.627178145	-0.439708954	-0.883668524	-0.501918154	-0.632532963	-0.484564474	-0.538376342	-0.644660562	-0.93145551	-1.096609689	-1.056490703	-0.212899536	-0.620540484
